;invol_NDC_update;inf_NDC_update;invol_nego;inf_nego;Organisation
CH1;0;;0;;Aerosuisse - Dachverband der Schweizerischen Luft- und Raumfahrt
CH2;0;;0;;Agentur für erneuerbare Energien und Energieeffizienz
CH3;0;;1;1;Alliance Sud
CH4;NA;;NA;;Alpiq AG
CH5;0;;0;;auto-schweiz
CH6;0;;0;;Avenergy - Verband Schweizer Treibstoffimporteure
CH7;0;;0;;Bauenschweiz - Dachverband der Schweizer Bauwirtschaft
CH8;1;4;1;4;Bundesamt für Umwelt (Gruppe National)
CH9;0;;0;;Economiesuisse - Wirtschaftsdachverband
CH10;0;;0;;Energie-Agentur der Wirtschaft
CH11;0;;0;;ETH Zürich
CH12;0;;NA;;Freisinnige Demokratische Partei
CH13;0;;0;;Greenpeace Schweiz
CH14;0;;0;;Hauseigentümerverband Schweiz
CH15;NA;;NA;;Klimaallianz - Bündnis zivilgesellschaftlicher Organisationen für den Klimaschutz
CH16;0;;0;;Klimastreik Schweiz / Fridays for Future
CH17;0;;0;;Kommission für Umwelt, Raumplanung und Energie des Ständerates
CH18;NA;;NA;;Migros-Genossenschaft
CH19;0;;0;;ProClim-AkadWiss
CH20;0;;0;;SBB
CH21;NA;;NA;;Schweizer Bauernverband 
CH22;0;;0;;Schweizerische Arbeitsgemeinschaft für die Berggebiete
CH23;0;;0;;Schweizerische Energie-Stiftung
CH24;1;4;1;3;Schweizerischer Gewerbeverband
CH25;0;;0;;Schweizerischer Gewerkschaftsbund
CH26;1;3;0;;Sozialdemokratische Partei
CH27;1;1;1;2;Staatssekretariat für Wirtschaft
CH28;0;;0;;Stiftung Klik - Stiftung Klimaschutz und CO0 Kompensation
CH29;NA;;NA;;Suissetec - Schweizerisch-Liechtensteiner Gebäudetechnikverband
CH30;0;;1;2;Swisscleantech – Verband für nachhaltige Wirtschaft
CH31;0;;0;;Swissmem - Verband der Schweizer Maschinen-, Elektro- und Metallindustrie
CH32;0;;0;;Swissoil
CH33;0;;0;;Travail Suisse - Dachorganisation der Schweizer Gewerkschaften
CH34;0;;0;;Verband der Schweizerischen Cementindustrie
CH35;0;;0;;Verein Klimaschutz Schweiz
CH36;0;;0;;Verkehrs-Club Schweiz
CH37;0;;1;3;World Wide Fund For Nature Schweiz
CH38;0;;0;;Grünliberale Partei
CH39;NA;;1;2;Grüne Partei Schweiz
CH40;;;;;Bundesamt für Energie
CH41;;;;;Komission für Umwelt Raumplanung und Energie des Nationalrates
CH42;;;;;Schwizerische Volkspartei
CH43;;;;;Die Mitte
CH44;;;;;Scienceindustries
CH45;;;;;Schweizerische Bankiervereinigung
CH46;;;;;Stiftung für Konsumentenschutz
CH47;;;;;Swissolar
CH48;;;;;Verband der Schweizerischen Gasindustrie
CH49;;;;;Automobil Club der Schweiz
CH50;;;;;Schweizerischer Nutzfahrzeugverband
CH51;;;;;Touring Club Schweiz
CH52;;;;;Coop Schweiz
CH53;;;;;ECO SWISS
CH54;;;;;Oeschger Center for Climate Change Research
