Name;BRAT;UVEK;BAFU;BFE;EFV;SECO;UREK-NR;UREK-SR;StiftungKlimarappen;SVP;SPS;FDP;CVP;GPS;GLP;BDP;ECON;SGV;SMEM;CEM;SCIENCE;HEV;SBV;OEBU;LiberalesInstitut;TCS;ASTAG;FRS;VCS;AUTO;AGVS;ACS;Vöv;EV;Swissoil;EnAW;EFORUM;SES;AEE;AVES;Swissolar;WWF;Greenpeace;Equiterre;Aefu;ProNatura;SGB;TRAV;MV;ASLOCA;SKS;FRC;OcCC;Proclim;Prognos;Infras;FirstClimate;AKADEMIE;COOP;Migros;MyClimate;VSE;VSG;Klima-Allianz;Parlament;Kantone;Cleantech;Energie-TrialogSchweiz;Energie-Allianz;VereinKlima-Initiative;McKinsey
ACS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aefu;1;;;1;;;;1;;;;;;;;;1;;;;;1;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
AGVS;;1;1;1;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AKADEMIE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASLOCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASTAG;1;1;1;;;;;1;;1;;1;;;;;1;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTO;;1;1;1;;;1;1;;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAFU;1;1;1;1;;;1;1;;;1;;1;;;;1;1;1;1;1;;;;;;;;;;;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BDP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BFE;1;1;1;1;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAT;1;1;1;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEM;1;1;1;;;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CVP;1;1;1;1;;;1;1;1;;;;;;;;;1;;1;1;;;;;1;;;;;;1;;1;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECON;1;1;1;;;;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;;1;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFORUM;1;1;1;;;;1;1;1;;;;;;;;1;1;1;;;1;;;;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
EFV;1;1;1;;;;1;1;;1;1;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EnAW;1;;1;;;;1;1;;;;1;1;1;1;1;1;1;;;;1;;;;;;1;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;
Equiterre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EV;1;1;1;;;;1;1;1;;1;1;1;1;;;1;1;;1;;;;;;1;1;1;1;1;;1;;1;;1;;1;1;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;
FDP;1;;1;;;;1;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;
FirstClimate;1;;1;1;;1;;;1;;;;;;;;1;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLP;1;1;;1;;;1;1;;;1;;1;1;1;1;;;;;;;;1;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
GPS;1;1;1;;;1;1;1;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greenpeace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEV;1;;1;;;;1;1;1;1;1;1;1;1;1;;1;1;;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infras;1;1;1;1;;;1;1;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MV;1;1;1;;1;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
OcCC;1;1;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;1;1;1;1;;;;;;;;;1;;1;;;;
OEBU;1;;1;1;;;1;1;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
ProNatura;1;1;1;1;;;1;1;;;1;;1;1;1;1;1;1;;;;;;;;1;;;1;;1;;;;;1;;1;;;;1;1;;;1;1;;;;;;;;1;1;;;1;1;;;;;;;;;;;
Proclim;1;1;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;1;1;1;1;;;;;;;;;1;;1;;;;
Prognos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBV;1;1;1;1;;;1;1;;;;;;;;;1;;;;;;;;;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;
SCIENCE;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SECO;1;1;1;;;1;1;1;;1;;;1;1;1;1;1;;1;1;;1;;;;;;1;;;;;;1;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
SES;1;1;1;;;1;1;1;1;;1;1;1;1;;;1;;;;;1;;1;;1;1;;1;;1;;;;;1;;1;1;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
SGB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGV;1;1;1;1;1;;1;1;1;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SKS;1;1;;1;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMEM;1;;1;;;1;1;1;;;;;;;1;;1;1;1;1;;;;;;1;;1;;1;;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPS;1;1;1;1;1;1;1;1;;1;1;1;1;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
StiftungKlimarappen;1;1;1;;;;1;1;;1;1;1;1;1;1;1;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strasseschweiz;1;1;1;1;;;1;1;;;1;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SVP;1;1;1;1;1;;1;1;1;1;1;1;;;1;;;1;;1;;1;;;;;;;;1;;;;1;;;1;1;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;
Swissoil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Swissolar;1;1;1;;;;;;;1;1;;1;;;;1;1;;;;1;;;;1;;;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;
TCS;;1;;;;;1;1;1;;;;;;;;1;1;1;1;1;1;;;;1;1;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAV;1;1;1;1;;1;1;1;1;;1;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
UREK-NR;1;1;1;1;;;1;1;;1;1;1;1;1;1;1;1;;1;;;;;;;;;;;1;;;;1;;;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;
UREK-SR;1;1;1;1;;;1;1;;1;1;1;1;1;1;1;1;;1;;;;;;;;;;;1;;;;1;;;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;
UVEK;1;1;1;1;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
VCS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vöv;1;1;1;1;1;;1;1;1;;;;;;;;1;1;;;;1;;;;;;1;1;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
WWF;1;1;1;;;1;1;;;;1;;1;1;1;1;1;;;1;;;;;;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;1;1;1
COOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
