"";"ID";"Degree";"Degree_norm";"Betweenness";"Eigenvector";"PageRank"
"AGRO";1;3;0,0666666666666667;0;0,0267645546634436;0,00501752956760672
"ASUD";2;8;0,177777777777778;0;0,108342099877799;0,0133568130780849
"AUTO";3;18;0,4;0,0191919191919192;0,399218898696003;0,0186925016305339
"BPD";4;8;0,177777777777778;0;0,142942443792796;0,00970756651365243
"CAN";5;27;0,6;0,00235690235690236;0,549838683804305;0,0319245637401192
"CAR";6;3;0,0666666666666667;0;0,136697166863934;0,0109833975908136
"PATRONAL";7;8;0,177777777777778;0;0,181810539090758;0,0159586868432234
"CVP";8;28;0,622222222222222;0,0792929292929293;0,651122005070071;0,0360530056293815
"CHURCH";9;14;0,311111111111111;0,0535353535353535;0,227009512810428;0,016509138433266
"CCF";10;8;0,177777777777778;0;0,181810539090758;0,0159586868432234
"CLA";11;7;0,155555555555556;0;0,256817516740804;0,0130802495765474
"CONSUL";12;9;0,2;0;0,173563312522843;0,0143178427874627
"CORP";13;14;0,311111111111111;0;0,286862487565403;0,0234028980029034
"EPFL";14;9;0,2;0,00808080808080808;0,108922245915352;0,00821634156075057
"ETHZ";15;23;0,511111111111111;0,19949494949495;0,259921882937924;0,0241267407139902
"ECON";16;23;0,511111111111111;0,0494949494949495;0,796244181009128;0,0352675819095209
"ENE-DOM";17;18;0,4;0,0404040404040404;0,27800055941245;0,0194169124375662
"ESPEC-NC";18;19;0,422222222222222;0,00303030303030303;0,834451245676061;0,0361135355806331
"FDP";19;28;0,622222222222222;0,18030303030303;0,525319658973224;0,0303902789666328
"FC";20;33;0,733333333333333;0,214141414141414;1;0,0437799267827579
"FOEN";21;20;0,444444444444444;0,0368686868686869;0,569711240226158;0,0229852776327957
"PARL";22;28;0,622222222222222;0,0656565656565657;0,871631856708379;0,0373869888876387
"GPS";23;21;0,466666666666667;0,000336700336700337;0,594426444785075;0,0312825111268833
"GLP";24;29;0,644444444444444;0,176767676767677;0,650273070832422;0,0358266863106058
"GREEN";25;2;0,0444444444444444;0;0,0333061096566386;0,00466947583690209
"FINANCE";26;4;0,0888888888888889;0;0,0684455553510168;0,00745336240084351
"IPCC";27;4;0,0888888888888889;0;0,0886720595797619;0,0190998631629436
"NGO";28;23;0,511111111111111;0;0,566582123601409;0,034839760749947
"NC";29;21;0,466666666666667;0,00101010101010101;0,749077858121055;0,0312363758908186
"OCCR";30;24;0,533333333333333;0,0116161616161616;0,436277922738469;0,0297335583641
"OIL";31;13;0,288888888888889;0;0,407030435347005;0,0168780585581126
"REL-DOM";32;14;0,311111111111111;0,00202020202020202;0,219842855711165;0,0250098849805608
"SPS";33;31;0,688888888888889;0,0414141414141414;0,782622200896164;0,0399875449317669
"DEZA";34;3;0,0666666666666667;0;0,0567737823529524;0,0120488085836432
"SES";35;11;0,244444444444444;0;0,21829339207404;0,0189963910325911
"SECO";36;8;0,177777777777778;0;0,18342746630779;0,0151551204315978
"SFOE";37;12;0,266666666666667;0;0,240546206533099;0,0199510927275763
"SPP";38;18;0,4;0,0914141414141414;0,265512176483979;0,0198339563927592
"GVS";39;19;0,422222222222222;0;0,747909658043758;0,0322140627586031
"ACADEMY";40;4;0,0888888888888889;0;0,0669286295280121;0,0197313184725433
"CLEANTECH";41;24;0,533333333333333;0,0286195286195286;0,422044868524402;0,0212242748204104
"TCS";42;8;0,177777777777778;0;0,233669781283467;0,0111159280532177
"UNIL";43;4;0,0888888888888889;0;0,0669286295280122;0,0197313184725433
"VCS";44;10;0,222222222222222;0;0,281944604098117;0,0127646660627599
"WWF";45;30;0,666666666666667;0,103030303030303;0,65466902742516;0,0347255613740934
"WBCSD";46;1;0,0222222222222222;0;0,00480107836566334;0,0038439537950723
