"";"ID";"IDegree";"ODegree";"IStrength";"OStrength";"Betweenness";"Closeness";"Eigenvector";"PageRank"
"FC";1;0,618;0,618;21;21;0,134;0,723;0,84;0,056
"DETEC";2;0,794;0,794;27;27;0,289;0,829;0,929;0,079
"FOEN";3;0,118;0,118;4;4;0,001;0,466;0,115;0,015
"SFOE";4;0,088;0,088;3;3;0;0,459;0,09;0,012
"CCC";5;0,029;0,029;1;1;0;0,378;0,032;0,007
"NC";6;0,412;0,412;14;14;0,016;0,586;0,635;0,036
"SC";7;0,353;0,353;12;12;0,034;0,567;0,399;0,035
"ESPEC.N";8;0,265;0,265;9;9;0,007;0,54;0,394;0,025
"ESPEC.S";9;0,088;0,088;3;3;0;0,479;0,136;0,011
"CVP";10;0,5;0,5;17;17;0,011;0,654;0,822;0,041
"CSP";11;0,353;0,353;12;12;0,003;0,576;0,613;0,03
"FDP";12;0,5;0,5;17;17;0,011;0,654;0,822;0,041
"GP";13;0,441;0,441;15;15;0,006;0,63;0,759;0,037
"SP";14;0,765;0,765;26;26;0,13;0,81;1;0,065
"SVP";15;0,471;0,471;16;16;0,008;0,642;0,799;0,039
"EDU";16;0,235;0,235;8;8;0;0,54;0,411;0,022
"EVP";17;0,235;0,235;8;8;0;0,54;0,411;0,022
"AFRCP";18;0,588;0,588;20;20;0,035;0,708;0,887;0,049
"CEM";19;0,147;0,147;5;5;0;0,523;0,239;0,016
"ECON";20;0,441;0,441;15;15;0,006;0,642;0,778;0,037
"EV";21;0,382;0,382;13;13;0,002;0,618;0,7;0,033
"FRS";22;0,382;0,382;13;13;0,002;0,618;0,7;0,033
"HEV";23;0,647;0,647;22;22;0,058;0,739;0,917;0,055
"OEBU";24;0,206;0,206;7;7;0,001;0,548;0,319;0,021
"SGV";25;0,412;0,412;14;14;0,005;0,618;0,734;0,035
"FCC";26;0,324;0,324;11;11;0,064;0,596;0,485;0,033
"SMEM";27;0,147;0,147;5;5;0;0,523;0,239;0,016
"DSMV";28;0,206;0,206;7;7;0,001;0,548;0,319;0,021
"SVIT";29;0,206;0,206;7;7;0,001;0,548;0,319;0,021
"Science";30;0,059;0,059;2;2;0;0,5;0,118;0,009
"EnAW";31;0,059;0,059;2;2;0;0,5;0,118;0,009
"GREEN";32;0,206;0,206;7;7;0,002;0,548;0,364;0,02
"SOLAR";33;0,029;0,029;1;1;0;0,459;0,062;0,007
"VCS";34;0,029;0,029;1;1;0;0,459;0,062;0,007
"WWF";35;0,029;0,029;1;1;0;0,459;0,062;0,007
